Domain,Course Title,Rating,Number Enrolled,Like Ratio,Number of Modules,Review 1,Review 2,Review 3,URL,,,,
JAVA,Core Java for Complete Beginners Specialization,4.3,N/A,N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/core-java-course,-2875,-3255,-3606,-9736
JAVA,Object Oriented Programming in Java Specialization,4.6,"107,410",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/object-oriented-programming,,,,
JAVA,Core Java Specialization,4.6,"49,812",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/core-java,,,,
JAVA,Introduction to Programming with Python and Java Specialization,4.4,"57,020",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/programming-python-java,,,,
JAVA,Java Testing Specialization,3.8,"1,763",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/learnquest-java-testing,,,,
JAVA,Object Oriented Java Programming: Data Structures and Beyond Specialization,4.7,"74,626",N/A,5 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-object-oriented,,,,
JAVA,Java Database Connectivity Specialization,4.5,"2,182",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-database-connectivity,,,,
JAVA,Java as a Second Language Specialization,4.4,"5,991",N/A,3 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-programming-language,,,,
JAVA,Learn to Teach Java Specialization,4.7,"3,005",N/A,5 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/teach-java,,,,
JAVA,Introduction to Java,4.6,"103,931",96%,3 modules,"5
Reviewed on Feb 18, 2022
tricky course for me, i had not remebered how much, the little things hem me up, but i learn patience and practice, which i will use to continue to grow with these courses.","4
Reviewed on Aug 16, 2022
I have been programming in Java for a year. Learning this course was a review of Java for me and it was very useful.
Thanks Coursera Team","5
Reviewed on Dec 4, 2021
The introduction to Java was covered beautifully with the basic concepts and the labs , some hands on with good examples. Thank you so much for designing this lectures.",https://www.coursera.org/learn/java-introduction,,,,
JAVA,Java Development Deep Dive Specialization,N/A,N/A,N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-development-deep-divep-dive,,,,
JAVA,Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,"110,862",95%,3 modules,"5
Reviewed on Aug 3, 2020
It's a truly amazing course, with each practice you learn something new and it makes you fall in love with cloud computing and the good GCP interface","5
Reviewed on May 31, 2020
Awesome for hands on and practical approach of creating and deploying spring cloud app in gcp services , especially gae and gcp cloud config concepts was in particular was well explained in course .","5
Reviewed on May 6, 2022
I would strongly recommend this course to those who wants to practice Cloud Native and DevOps. Excellent efforts done by Google Cloud and Coursera team.",https://www.coursera.org/learn/google-cloud-java-spring,,,,
JAVA,Introducción a Java,4.1,"164,515",95%,5 modules,"5
Reviewed on Sep 10, 2020
excelente curso, puso a prueba mis conocimientos como también me abrió a un mar de nuevas cosas que desconocía, gracias por prestar este tipo de ayuda a personas que deseamos progresar y nutrirnos!","5
Reviewed on Nov 18, 2018
Felicitaciones y muchas gracias por el curso. Ha despejado la mayoría de mis dudas respecto de lo básico del lenguaje y, como dijeron al final, aún hay mucho por aprender.
Hasta pronto.","5
Reviewed on Oct 15, 2019
es una excelente plataforma para aprender y te dan diferentes recursos y materiales didácticos tanto visuales, kinestesicos y auditivos y aprendes mas rápido con el foro.",https://www.coursera.org/learn/introduccion-java,,,,
JAVA,Data Structures & Backend with Java,4.2,"15,794",N/A,3 modules,"4
Reviewed on May 24, 2024
please make more detailed video on the course the duration is too short and it not covers the main part of java","4
Reviewed on Jun 19, 2024
Pretty good . Only drawback is that the videos are small.","5
Reviewed on Jun 19, 2024
I really liked this course and its in-depth resources",https://www.coursera.org/learn/data-structures--backend-with-java,,,,
JAVA,Java Enterprise Edition Specialization,4.7,"4,400",N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-ee,,,,
JAVA,Fundamentals of Java Programming,4.4,"27,674",91%,3 modules,"4
Reviewed on Sep 21, 2023
The course is great but the quizzes should be improved grammatically.","5
Reviewed on Aug 8, 2024
Very nice and helpful course - worked as crash course. Very nice to revise the concepts in less time.","4
Reviewed on Jan 9, 2024
Questions are good but it is better if we can have better explanation what are the correct answers.",https://www.coursera.org/learn/fundamentals-of-java-programming,,,,
JAVA,Java Programming: Solving Problems with Software,4.6,"389,295",92%,5 modules,"4
Reviewed on Feb 26, 2019
A basic practice approach for solving problems with a 7step formula for any kind of problem set, for any kind of programming language you use. A very basic approach to JAVA syntax and semantics.","5
Reviewed on May 19, 2019
Really practical course content with great tutorials. The programming assignments are fun and challenging and deal with real world data and problems which makes the course all the more useful!","4
Reviewed on Apr 25, 2021
The course was well structured but I feel the content could have incorporated more concepts. I feel like there's so much basic JAVA that's not covered. But otherwise the teachers did a great job.",https://www.coursera.org/learn/java-programming,,,,
JAVA,Programming in Java: A Hands-on Introduction Specialization,4.5,"3,968",N/A,5 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/hands-on-java,,,,
JAVA,Jakarta Persistence (JPA),5,"1,505",N/A,3 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-database-connectivity-jakarta-persistence,,,,
JAVA,Java FullStack Developer Specialization,4.3,"19,845",N/A,3 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/java-fullstack,,,,
JAVA,Introduction to Software Development,4.7,"6,975",N/A,4 modules,"4
Reviewed on Nov 6, 2024
Some of the assignments specifically the coding assessments are missing the code sections on the instructions page. Otherwise this is a very good course would be a 5.","4
Reviewed on Nov 10, 2024
The Overall Course was absolutely great. But the testcases for final assessment were not clearly mentioned.","5
Reviewed on Oct 14, 2024
Nicely explained and with hands-on coding Labs, this course by Amazon is Great, also addition resources are provided to help with course.",https://www.coursera.org/learn/introduction-to-software-development,,,,
JAVA,Object-Oriented Hierarchies in Java,4.7,"17,927",N/A,6 modules,"5
Reviewed on Jul 21, 2024
Very good content to understand concept practical application.","5
Reviewed on Mar 28, 2021
great the instructor is growing on me like barnacles on a boat","5
Reviewed on Mar 23, 2022
it is great course. I will come back to it, i am now taking break
thank you",https://www.coursera.org/learn/object-oriented-hierarchies-java,,,,
JAVA,Learn Automation Testing with Java and Selenium Webdriver Specialization,N/A,N/A,N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/packt-learn-automation-testing-with-java-and-selenium-webdriver,,,,
JAVA,Java Class Library,4.7,"17,503",N/A,7 modules,"5
Reviewed on Dec 1, 2022
This course makes you self-sufficient to continue explore Java platform on your own.","5
Reviewed on Jul 28, 2021
Excelent course, i learned a lot and i think that if you follow the lectures you get a solid base to start programming right away","5
Reviewed on Jan 1, 2022
I understood many of these topics already but I got much more a detailed comprehension.",https://www.coursera.org/learn/java-class-library,,,,
JAVA,Core Java - Foundations,N/A,N/A,N/A,2 modules,N/A,N/A,N/A,https://www.coursera.org/learn/core-java-foundations,,,,
JAVA,Frontend for Java Full Stack Development,4,"12,119",N/A,3 modules,"5
Reviewed on Oct 21, 2023
the best certificate Frontend for Java Full Stack Development","4
Reviewed on Oct 23, 2023
Introduction on angular was missing. How to install and setup and basic information of how to use for first timers was not there.","4
Reviewed on Sep 22, 2023
All lectures are oem , but in many lecture Keyboard noice was to much odd and its distract me while learn . but nice lecture and guidence",https://www.coursera.org/learn/frontend-development-for-java-full-stack,,,,
JAVA,"Java Programming: Arrays, Lists, and Structured Data",4.7,"160,883",92%,5 modules,"4
Reviewed on Sep 5, 2020
Learned a lot from the course, but the amount of programming assignment and number of Qs to complete the module (especially week2) was absurdly large. Could be split into separate sessions.","5
Reviewed on May 24, 2023
Thanks to the professors of Duke University for teaching this course using Security and Networking related practical problems. It enhances my knowledge and will recommend others to pursue this course.","5
Reviewed on Aug 20, 2017
The programming exercises are really interesting! They make programming much more fun to study. The lecturers are all great and the lessons are engaging. Enjoyed it greatly! Thank you Duke.",https://www.coursera.org/learn/java-programming-arrays-lists-data,,,,
JAVA,Introduction to Java Enterprise Edition (EE),4.5,"8,831",N/A,2 modules,"4
Reviewed on Jun 7, 2022
good course, yet needs more illustration and dense information in order to make this course more appealing","5
Reviewed on Jul 27, 2022
it's a really awesome course.all fundamantels are clear for servlet.",N/A,https://www.coursera.org/learn/introduction-ee,,,,
JAVA,Java Programming: Principles of Software Design,4.6,"108,270",92%,5 modules,"4
Reviewed on Sep 1, 2017
A very challenging course with a lot of assignments, great professors and discussion forum. But I feel like the instructors could have given the instructions more clearly on the assignment","5
Reviewed on Jul 28, 2020
These set of four made not only learning Java fun and also explored on the applications software engineering it has on the real world, touching a little bit of everything in the same field.","5
Reviewed on May 29, 2020
It's a very good course that solidifies your understanding. It gets challenging in week 3 and has to be done with great accuracy and attention.",https://www.coursera.org/learn/java-programming-design-principles,,,,
